#TYPE System.ServiceProcess.ServiceController
"Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","ServiceHandle","Status","ServiceType","StartType","Site","Container"
"AarSvc_8ebfa","System.ServiceProcess.ServiceController[]","False","False","False","Agent Activation Runtime_8ebfa","System.ServiceProcess.ServiceController[]",".","AarSvc_8ebfa","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"AJRouter","System.ServiceProcess.ServiceController[]","False","False","False","AllJoyn Router Service","System.ServiceProcess.ServiceController[]",".","AJRouter","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"ALG","System.ServiceProcess.ServiceController[]","False","False","False","Application Layer Gateway Service","System.ServiceProcess.ServiceController[]",".","ALG","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"AppIDSvc","System.ServiceProcess.ServiceController[]","False","False","False","Application Identity","System.ServiceProcess.ServiceController[]",".","AppIDSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"Appinfo","System.ServiceProcess.ServiceController[]","False","False","True","Application Information","System.ServiceProcess.ServiceController[]",".","Appinfo","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"AppMgmt","System.ServiceProcess.ServiceController[]","False","False","False","Application Management","System.ServiceProcess.ServiceController[]",".","AppMgmt","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"AppReadiness","System.ServiceProcess.ServiceController[]","False","False","False","App Readiness","System.ServiceProcess.ServiceController[]",".","AppReadiness","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"AppVClient","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft App-V Client","System.ServiceProcess.ServiceController[]",".","AppVClient","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Disabled",,
"AppXSvc","System.ServiceProcess.ServiceController[]","False","False","False","AppX Deployment Service (AppXSVC)","System.ServiceProcess.ServiceController[]",".","AppXSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"AssignedAccessManagerSvc","System.ServiceProcess.ServiceController[]","False","False","False","AssignedAccessManager Service","System.ServiceProcess.ServiceController[]",".","AssignedAccessManagerSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"AudioEndpointBuilder","System.ServiceProcess.ServiceController[]","False","False","True","Windows Audio Endpoint Builder","System.ServiceProcess.ServiceController[]",".","AudioEndpointBuilder","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"Audiosrv","System.ServiceProcess.ServiceController[]","False","False","True","Windows Audio","System.ServiceProcess.ServiceController[]",".","Audiosrv","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"autotimesvc","System.ServiceProcess.ServiceController[]","False","False","False","Cellular Time","System.ServiceProcess.ServiceController[]",".","autotimesvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"AxInstSV","System.ServiceProcess.ServiceController[]","False","False","False","ActiveX Installer (AxInstSV)","System.ServiceProcess.ServiceController[]",".","AxInstSV","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"BcastDVRUserService_8ebfa","System.ServiceProcess.ServiceController[]","False","False","False","GameDVR and Broadcast User Service_8ebfa","System.ServiceProcess.ServiceController[]",".","BcastDVRUserService_8ebfa","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"BDESVC","System.ServiceProcess.ServiceController[]","False","False","False","BitLocker Drive Encryption Service","System.ServiceProcess.ServiceController[]",".","BDESVC","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"BFE","System.ServiceProcess.ServiceController[]","False","False","True","Base Filtering Engine",,".","BFE","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"BITS","System.ServiceProcess.ServiceController[]","False","False","True","Background Intelligent Transfer Service","System.ServiceProcess.ServiceController[]",".","BITS","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"BluetoothUserService_8ebfa","System.ServiceProcess.ServiceController[]","False","False","False","Bluetooth User Support Service_8ebfa","System.ServiceProcess.ServiceController[]",".","BluetoothUserService_8ebfa","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"BrokerInfrastructure","System.ServiceProcess.ServiceController[]","False","False","False","Background Tasks Infrastructure Service",,".","BrokerInfrastructure","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"BTAGService","System.ServiceProcess.ServiceController[]","False","False","False","Bluetooth Audio Gateway Service","System.ServiceProcess.ServiceController[]",".","BTAGService","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"BthAvctpSvc","System.ServiceProcess.ServiceController[]","False","False","True","AVCTP service","System.ServiceProcess.ServiceController[]",".","BthAvctpSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"bthserv","System.ServiceProcess.ServiceController[]","False","False","False","Bluetooth Support Service","System.ServiceProcess.ServiceController[]",".","bthserv","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"camsvc","System.ServiceProcess.ServiceController[]","False","False","False","Capability Access Manager Service","System.ServiceProcess.ServiceController[]",".","camsvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"CaptureService_8ebfa","System.ServiceProcess.ServiceController[]","False","False","False","CaptureService_8ebfa","System.ServiceProcess.ServiceController[]",".","CaptureService_8ebfa","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"cbdhsvc_8ebfa","System.ServiceProcess.ServiceController[]","False","False","True","Clipboard User Service_8ebfa","System.ServiceProcess.ServiceController[]",".","cbdhsvc_8ebfa","System.ServiceProcess.ServiceController[]",,"Running","240","Manual",,
"CDPSvc","System.ServiceProcess.ServiceController[]","False","False","True","Connected Devices Platform Service","System.ServiceProcess.ServiceController[]",".","CDPSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"CDPUserSvc_8ebfa","System.ServiceProcess.ServiceController[]","False","False","True","Connected Devices Platform User Service_8ebfa","System.ServiceProcess.ServiceController[]",".","CDPUserSvc_8ebfa","System.ServiceProcess.ServiceController[]",,"Running","240","Automatic",,
"CertPropSvc","System.ServiceProcess.ServiceController[]","False","True","True","Certificate Propagation","System.ServiceProcess.ServiceController[]",".","CertPropSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"ClipSVC","System.ServiceProcess.ServiceController[]","False","False","False","Client License Service (ClipSVC)","System.ServiceProcess.ServiceController[]",".","ClipSVC","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"COMSysApp","System.ServiceProcess.ServiceController[]","False","False","False","COM+ System Application","System.ServiceProcess.ServiceController[]",".","COMSysApp","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"ConsentUxUserSvc_8ebfa","System.ServiceProcess.ServiceController[]","False","False","False","ConsentUX_8ebfa","System.ServiceProcess.ServiceController[]",".","ConsentUxUserSvc_8ebfa","System.ServiceProcess.ServiceController[]",,"Stopped","240","Manual",,
"CoreMessagingRegistrar","System.ServiceProcess.ServiceController[]","False","False","False","CoreMessaging","System.ServiceProcess.ServiceController[]",".","CoreMessagingRegistrar","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"CredentialEnrollmentManagerUserSvc_8ebfa","System.ServiceProcess.ServiceController[]","False","False","False","CredentialEnrollmentManagerUserSvc_8ebfa","System.ServiceProcess.ServiceController[]",".","CredentialEnrollmentManagerUserSvc_8ebfa","System.ServiceProcess.ServiceController[]",,"Stopped","208","Manual",,
"CryptSvc","System.ServiceProcess.ServiceController[]","False","True","True","Cryptographic Services","System.ServiceProcess.ServiceController[]",".","CryptSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"CscService","System.ServiceProcess.ServiceController[]","False","False","False","Offline Files","System.ServiceProcess.ServiceController[]",".","CscService","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"DcomLaunch","System.ServiceProcess.ServiceController[]","False","False","False","DCOM Server Process Launcher",,".","DcomLaunch","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"defragsvc","System.ServiceProcess.ServiceController[]","False","False","False","Optimize drives","System.ServiceProcess.ServiceController[]",".","defragsvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"DeviceAssociationBrokerSvc_8ebfa","System.ServiceProcess.ServiceController[]","False","False","False","DeviceAssociationBroker_8ebfa","System.ServiceProcess.ServiceController[]",".","DeviceAssociationBrokerSvc_8ebfa","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"DeviceAssociationService","System.ServiceProcess.ServiceController[]","False","False","False","Device Association Service","System.ServiceProcess.ServiceController[]",".","DeviceAssociationService","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"DeviceInstall","System.ServiceProcess.ServiceController[]","False","False","False","Device Install Service","System.ServiceProcess.ServiceController[]",".","DeviceInstall","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"DevicePickerUserSvc_8ebfa","System.ServiceProcess.ServiceController[]","False","False","False","DevicePicker_8ebfa","System.ServiceProcess.ServiceController[]",".","DevicePickerUserSvc_8ebfa","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"DevicesFlowUserSvc_8ebfa","System.ServiceProcess.ServiceController[]","False","False","False","DevicesFlow_8ebfa","System.ServiceProcess.ServiceController[]",".","DevicesFlowUserSvc_8ebfa","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"DevQueryBroker","System.ServiceProcess.ServiceController[]","False","False","False","DevQuery Background Discovery Broker","System.ServiceProcess.ServiceController[]",".","DevQueryBroker","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"Dhcp","System.ServiceProcess.ServiceController[]","False","True","True","DHCP Client","System.ServiceProcess.ServiceController[]",".","Dhcp","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"diagnosticshub.standardcollector.service","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft (R) Diagnostics Hub Standard Collector Service","System.ServiceProcess.ServiceController[]",".","diagnosticshub.standardcollector.service","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"diagsvc","System.ServiceProcess.ServiceController[]","False","False","False","Diagnostic Execution Service","System.ServiceProcess.ServiceController[]",".","diagsvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"DiagTrack","System.ServiceProcess.ServiceController[]","False","True","True","Connected User Experiences and Telemetry","System.ServiceProcess.ServiceController[]",".","DiagTrack","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"DispBrokerDesktopSvc","System.ServiceProcess.ServiceController[]","False","False","True","Display Policy Service","System.ServiceProcess.ServiceController[]",".","DispBrokerDesktopSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DisplayEnhancementService","System.ServiceProcess.ServiceController[]","False","False","False","Display Enhancement Service","System.ServiceProcess.ServiceController[]",".","DisplayEnhancementService","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"DmEnrollmentSvc","System.ServiceProcess.ServiceController[]","False","False","False","Device Management Enrollment Service","System.ServiceProcess.ServiceController[]",".","DmEnrollmentSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"dmwappushservice","System.ServiceProcess.ServiceController[]","False","False","False","Device Management Wireless Application Protocol (WAP) Push message Routing Service","System.ServiceProcess.ServiceController[]",".","dmwappushservice","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"Dnscache","System.ServiceProcess.ServiceController[]","False","False","False","DNS Client","System.ServiceProcess.ServiceController[]",".","Dnscache","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DoSvc","System.ServiceProcess.ServiceController[]","False","False","True","Delivery Optimization","System.ServiceProcess.ServiceController[]",".","DoSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"dot3svc","System.ServiceProcess.ServiceController[]","False","False","False","Wired AutoConfig","System.ServiceProcess.ServiceController[]",".","dot3svc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"DPS","System.ServiceProcess.ServiceController[]","False","True","True","Diagnostic Policy Service","System.ServiceProcess.ServiceController[]",".","DPS","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DsmSvc","System.ServiceProcess.ServiceController[]","False","False","False","Device Setup Manager","System.ServiceProcess.ServiceController[]",".","DsmSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"DsSvc","System.ServiceProcess.ServiceController[]","False","False","True","Data Sharing Service","System.ServiceProcess.ServiceController[]",".","DsSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
